Security Identifier,Issuer,Type Total,Quantity Average Cos,t (R$) To,tal Cost (R$),Gain / Loss Unit Pric,e (R$) Total,Amount (R$) %Net,Assets
RRRP3,3R PETROLEUM,Ação,8.900,"34,48","306.856,50","36.416,50","38,57","343.273,00","0,00"
SANB11,SANTANDER BR,Unit/ADR,15.490,"29,79","461.473,72","1.677,28","29,90","463.151,00","0,00"
SBSP3,SABESP,Ação,15.000,"37,24","558.577,52","198.472,48","50,47","757.050,00","0,00"
SLCE3,SLC AGRICOLA,Ação,4.200,"52,82","221.861,60","-15.053,60","49,24","206.808,00","0,00"
SMTO3,SAO MARTINHO,Ação,6.800,"29,34","199.522,60","-6.470,60","28,39","193.052,00","0,00"
SOMA3,RBXRIO,Ação,21.913,"17,34","379.911,29","-88.030,13","13,32","291.881,16","0,00"
SULA11,SUL AMERICA,Unit/ADR,12.325,"48,58","598.712,88","-279.618,63","25,89","319.094,25","0,00"
SUZB3,SUZANO PAPEL,Ação,32.386,"38,87","1.258.730,89","189.894,89","44,73","1.448.625,78","0,00"
TAEE11,TAESA,Unit/ADR,9.500,"28,22","268.106,52","133.363,48","42,26","401.470,00","0,00"
TIMS3,TIMM,Ação,35.300,"10,18","359.506,89","60.210,11","11,89","419.717,00","0,00"
TOTS3,TOTVS,Ação,22.300,"26,58","592.710,93","55.996,07","29,09","648.707,00","0,00"
UGPA3,ULTRAPAR,Ação,47.000,"19,69","925.348,10","-278.628,10","13,76","646.720,00","0,00"
USIM5,USIMINAS,Ação,22.092,"8,56","189.078,20","-5.051,84","8,33","184.026,36","0,00"
VALE3,VALE,Ação,203.213,"58,29","11.845.963,80","1.407.588,06","65,22","13.253.551,86","0,00"
VBBR3,VIBRA,Ação,47.900,"23,99","1.149.075,10","-238.975,10","19,00","910.100,00","0,00"
VIIA3,VIAVAREJO,Ação,69.900,"9,70","677.844,44","-459.057,44","3,13","218.787,00","0,00"
VIVT3,TELEF BRASIL,Ação,18.600,"118,88","2.211.110,30","-1.434.002,30","41,78","777.108,00","0,00"
WEGE3,WEG,Ação,61.900,"18,51","1.145.877,96","766.832,04","30,90","1.912.710,00","0,00"
YDUQ3,ESTACIOPART,Ação,12.800,"22,03","281.922,75","-122.562,75","12,45","159.360,00","0,00"
