Date,Holding Name,Asset Class,Ticker,Listing Country,SEDOL,Shares,Holding Value,Weight
19/1/2023,Qualtrics International,Equity,XM,,BM9PJH9,42132.0,450391.08,0.35331412
19/1/2023,Paycor HCM,Equity,PYCR,,BNLYJ59,18458.0,443914.9,0.34823381
19/1/2023,Harmony Biosciences Holdings,Equity,HRMY,,BKSGZN7,8791.0,436385.24,0.34232709
19/1/2023,Privia Health Group,Equity,PRVA,,BMDP209,15291.0,394049.07,0.30911602
19/1/2023,Dutch Bros,Equity,BROS,,BMWP7H2,11440.0,384727.2,0.30180338
19/1/2023,PowerSchool Holdings,Equity,PWSC,,BMGTPK9,15215.0,369876.65,0.29015371
19/1/2023,HashiCorp,Equity,HCP,,BP0PQT0,11993.0,345278.47,0.2708574
19/1/2023,Asana,Equity,ASAN,,BLFDQC4,24564.0,345124.2,0.27073638
19/1/2023,Thoughtworks Holding,Equity,TWKS,,BMYR6Y6,28453.0,324364.2,0.25445098
19/1/2023,Playtika Holding,Equity,PLTK,,BNRQKQ7,30200.0,290222.0,0.22766776
19/1/2023,Petco Health and Wellness,Equity,WOOF,,BNRQM83,26839.0,279125.6,0.21896307
19/1/2023,Sportradar Group,Equity,SRAD,,BMGSDH9,22759.0,246252.38,0.19317532
19/1/2023,Olaplex Holdings,Equity,OLPX,,BNKJ933,40749.0,246123.96,0.19307458
19/1/2023,Enact Holdings,Equity,ACT,,BNZFTG9,9951.0,238724.49,0.18726999
19/1/2023,Informatica,Equity,INFA,,BMG95P4,12191.0,200907.68,0.15760419
19/1/2023,Bausch + Lomb,Equity,BLCO,,BPLQ636,11440.0,191848.8,0.15049785
19/1/2023,Hertz Global Holdings,Equity,HTZ,,BNM5672,10586.0,179644.42,0.14092399
19/1/2023,ProFrac Holding,Equity,ACDC,,BPCJW03,7684.0,171891.08,0.1348418
19/1/2023,Instructure Holdings,Equity,INST,,BNXH3T8,5623.0,151821.0,0.11909761
19/1/2023,AbCellera Biologics,Equity,ABCL,,BL53SR3,8240.0,85531.2,0.06709587
19/1/2023,Ozon Holdings,Equity,OZON,,BN10NX3,13440.0,134.4,0.00010543
19/1/2023,Cash/Other,Cash,,,,83720.69,480027.12,0.37656249
